2000,1,1,6,9083
2000,1,2,7,8006
2000,1,3,1,11363
2000,1,4,2,13032
2000,1,5,3,12558
2000,1,6,4,12466
2000,1,7,5,12516
2000,1,8,6,8934
2000,1,9,7,7949
2000,1,10,1,11668
2000,1,11,2,12611
2000,1,12,3,12398
2000,1,13,4,11815
2000,1,14,5,12180
2000,1,15,6,8525
2000,1,16,7,7657
2000,1,17,1,10824
2000,1,18,2,12350
2000,1,19,3,12405
2000,1,20,4,12506
2000,1,21,5,11953
2000,1,22,6,8855
2000,1,23,7,7856
2000,1,24,1,11449
2000,1,25,2,12593
2000,1,26,3,12143
2000,1,27,4,12408
2000,1,28,5,11934
2000,1,29,6,8805
2000,1,30,7,7764
2000,1,31,1,11133
2000,2,1,2,12614
2000,2,2,3,12465
2000,2,3,4,12062
2000,2,4,5,12035
2000,2,5,6,8624
2000,2,6,7,7862
2000,2,7,1,11630
2000,2,8,2,12879
2000,2,9,3,12315
2000,2,10,4,12612
2000,2,11,5,12411
2000,2,12,6,8836
2000,2,13,7,7933
2000,2,14,1,12152
2000,2,15,2,13017
2000,2,16,3,12504
2000,2,17,4,12520
2000,2,18,5,12406
2000,2,19,6,8861
2000,2,20,7,7943
2000,2,21,1,10610
2000,2,22,2,12664
2000,2,23,3,12252
2000,2,24,4,12423
2000,2,25,5,12204
2000,2,26,6,9026
2000,2,27,7,7836
2000,2,28,1,11455
2000,2,29,2,11895
2000,3,1,3,12672
2000,3,2,4,12524
2000,3,3,5,12390
2000,3,4,6,9054
2000,3,5,7,7734
2000,3,6,1,11375
2000,3,7,2,12420
2000,3,8,3,12338
2000,3,9,4,12615
2000,3,10,5,12152
2000,3,11,6,8822
2000,3,12,7,7937
2000,3,13,1,11157
2000,3,14,2,12773
2000,3,15,3,12428
2000,3,16,4,12431
2000,3,17,5,12385
2000,3,18,6,8677
2000,3,19,7,7782
2000,3,20,1,11595
2000,3,21,2,12689
2000,3,22,3,12272
2000,3,23,4,12396
2000,3,24,5,12327
2000,3,25,6,9155
2000,3,26,7,7815
2000,3,27,1,11291
2000,3,28,2,12650
2000,3,29,3,12077
2000,3,30,4,12071
2000,3,31,5,11820
2000,4,1,6,8388
2000,4,2,7,7540
2000,4,3,1,11397
2000,4,4,2,12797
2000,4,5,3,12209
2000,4,6,4,12192
2000,4,7,5,12213
2000,4,8,6,8743
2000,4,9,7,7759
2000,4,10,1,11333
2000,4,11,2,12850
2000,4,12,3,12545
2000,4,13,4,11907
2000,4,14,5,12053
2000,4,15,6,8887
2000,4,16,7,7859
2000,4,17,1,11322
2000,4,18,2,12783
2000,4,19,3,12562
2000,4,20,4,12301
2000,4,21,5,11257
2000,4,22,6,8367
2000,4,23,7,7483
2000,4,24,1,11309
2000,4,25,2,12488
2000,4,26,3,12245
2000,4,27,4,12235
2000,4,28,5,11989
2000,4,29,6,8703
2000,4,30,7,7641
2000,5,1,1,11621
2000,5,2,2,12934
2000,5,3,3,12259
2000,5,4,4,12434
2000,5,5,5,12539
2000,5,6,6,8814
2000,5,7,7,7797
2000,5,8,1,11604
2000,5,9,2,12744
2000,5,10,3,12607
2000,5,11,4,12442
2000,5,12,5,12132
2000,5,13,6,8747
2000,5,14,7,7617
2000,5,15,1,11587
2000,5,16,2,12898
2000,5,17,3,12729
2000,5,18,4,12580
2000,5,19,5,12174
2000,5,20,6,8673
2000,5,21,7,7887
2000,5,22,1,11582
2000,5,23,2,13097
2000,5,24,3,12669
2000,5,25,4,13026
2000,5,26,5,12726
2000,5,27,6,8991
2000,5,28,7,7873
2000,5,29,1,8272
2000,5,30,2,11954
2000,5,31,3,12941
2000,6,1,4,13363
2000,6,2,5,12695
2000,6,3,6,8940
2000,6,4,7,7983
2000,6,5,1,11647
2000,6,6,2,12765
2000,6,7,3,12474
2000,6,8,4,12751
2000,6,9,5,12504
2000,6,10,6,9134
2000,6,11,7,8116
2000,6,12,1,11848
2000,6,13,2,12683
2000,6,14,3,12849
2000,6,15,4,12798
2000,6,16,5,12727
2000,6,17,6,9143
2000,6,18,7,8162
2000,6,19,1,11649
2000,6,20,2,13017
2000,6,21,3,12729
2000,6,22,4,12809
2000,6,23,5,12603
2000,6,24,6,9094
2000,6,25,7,8178
2000,6,26,1,12164
2000,6,27,2,13354
2000,6,28,3,13033
2000,6,29,4,13462
2000,6,30,5,13225
2000,7,1,6,9376
2000,7,2,7,8100
2000,7,3,1,11345
2000,7,4,2,9550
2000,7,5,3,12346
2000,7,6,4,13853
2000,7,7,5,13658
2000,7,8,6,9631
2000,7,9,7,8586
2000,7,10,1,12420
2000,7,11,2,13584
2000,7,12,3,12827
2000,7,13,4,12980
2000,7,14,5,13230
2000,7,15,6,9627
2000,7,16,7,8423
2000,7,17,1,12053
2000,7,18,2,13663
2000,7,19,3,13001
2000,7,20,4,13173
2000,7,21,5,13027
2000,7,22,6,9463
2000,7,23,7,8166
2000,7,24,1,12128
2000,7,25,2,13176
2000,7,26,3,12931
2000,7,27,4,13155
2000,7,28,5,12890
2000,7,29,6,9465
2000,7,30,7,8444
2000,7,31,1,11860
2000,8,1,2,13356
2000,8,2,3,12835
2000,8,3,4,13092
2000,8,4,5,12940
2000,8,5,6,9398
2000,8,6,7,8350
2000,8,7,1,11864
2000,8,8,2,13693
2000,8,9,3,13170
2000,8,10,4,12953
2000,8,11,5,12729
2000,8,12,6,9305
2000,8,13,7,8313
2000,8,14,1,11927
2000,8,15,2,13374
2000,8,16,3,13174
2000,8,17,4,13099
2000,8,18,5,13124
2000,8,19,6,9276
2000,8,20,7,8346
2000,8,21,1,12003
2000,8,22,2,13406
2000,8,23,3,12929
2000,8,24,4,13021
2000,8,25,5,12926
2000,8,26,6,9341
2000,8,27,7,8240
2000,8,28,1,12074
2000,8,29,2,13237
2000,8,30,3,13111
2000,8,31,4,13287
2000,9,1,5,13145
2000,9,2,6,9265
2000,9,3,7,8248
2000,9,4,1,8603
2000,9,5,2,12200
2000,9,6,3,13917
2000,9,7,4,13512
2000,9,8,5,13487
2000,9,9,6,9860
2000,9,10,7,8552
2000,9,11,1,12405
2000,9,12,2,13649
2000,9,13,3,13299
2000,9,14,4,13739
2000,9,15,5,13552
2000,9,16,6,9780
2000,9,17,7,8683
2000,9,18,1,12554
2000,9,19,2,13850
2000,9,20,3,13775
2000,9,21,4,13350
2000,9,22,5,13189
2000,9,23,6,9494
2000,9,24,7,8539
2000,9,25,1,12432
2000,9,26,2,13540
2000,9,27,3,13467
2000,9,28,4,13515
2000,9,29,5,13045
2000,9,30,6,9335
2000,10,1,7,8453
2000,10,2,1,12223
2000,10,3,2,13245
2000,10,4,3,13154
2000,10,5,4,13288
2000,10,6,5,12774
2000,10,7,6,9131
2000,10,8,7,8119
2000,10,9,1,11343
2000,10,10,2,13124
2000,10,11,3,12907
2000,10,12,4,13038
2000,10,13,5,11723
2000,10,14,6,9163
2000,10,15,7,8156
2000,10,16,1,12001
2000,10,17,2,13106
2000,10,18,3,12816
2000,10,19,4,12502
2000,10,20,5,12471
2000,10,21,6,8956
2000,10,22,7,7938
2000,10,23,1,11810
2000,10,24,2,12995
2000,10,25,3,12780
2000,10,26,4,12787
2000,10,27,5,12333
2000,10,28,6,8978
2000,10,29,7,8124
2000,10,30,1,11558
2000,10,31,2,11372
2000,11,1,3,12927
2000,11,2,4,13066
2000,11,3,5,12630
